model,w_doc,w_query,w_topic,AUC
BM25_Best,1.0,0.5,2.0,0.5181193036371294
BM25_Best,1.0,1.0,0.0,0.5699917573960662
BM25_Best,1.0,1.0,0.5,0.5602616920885731
BM25_Best,1.0,1.0,1.0,0.5452772935685228
BM25_Best,1.0,1.0,1.5,0.5349665085530134
BM25_Best,1.0,1.0,2.0,0.528424086667197
BM25_Best,1.0,1.5,0.0,0.5720273510108375
BM25_Best,1.0,1.5,0.5,0.5669442584933617
BM25_Best,1.0,1.5,1.0,0.5553838269690194
BM25_Best,1.0,1.5,1.5,0.5450881389721065
BM25_Best,1.0,1.5,2.0,0.5374763326617001
BM25_Best,1.0,2.0,0.0,0.5728085112572208
BM25_Best,1.0,2.0,0.5,0.5699284419729521
BM25_Best,1.0,2.0,1.0,0.5616961297872278
BM25_Best,1.0,2.0,1.5,0.5525938426993764
BM25_Best,1.0,2.0,2.0,0.5449286444939332
BM25_Best,1.0,3.0,0.0,0.5731670102158948
BM25_Best,1.0,3.0,0.5,0.5721273411425424
BM25_Best,1.0,3.0,1.0,0.5680433582691895
BM25_Best,1.0,3.0,1.5,0.5619481579427992
BM25_Best,1.0,3.0,2.0,0.5555373378727491
BM25_Best,1.5,0.0,0.0,0.5147758111149406
BM25_Best,1.5,0.0,0.5,0.5148493814641015
BM25_Best,1.5,0.0,1.0,0.5112225068562558
BM25_Best,1.5,0.0,1.5,0.5090846953789867
BM25_Best,1.5,0.0,2.0,0.5076944440762245
BM25_Best,1.5,0.5,0.0,0.5592192613654774
BM25_Best,1.5,0.5,0.5,0.543850054570199
BM25_Best,1.5,0.5,1.0,0.5305372826397542
BM25_Best,1.5,0.5,1.5,0.523487048599144
BM25_Best,1.5,0.5,2.0,0.5192472902692719
BM25_Best,1.5,1.0,0.0,0.5670457951489228
BM25_Best,1.5,1.0,0.5,0.5585088545855168
BM25_Best,1.5,1.0,1.0,0.5452304007558819
BM25_Best,1.5,1.0,1.5,0.5355661915892668
BM25_Best,1.5,1.0,2.0,0.5291519838955315
BM25_Best,1.5,1.5,0.0,0.5699917573960662
BM25_Best,1.5,1.5,0.5,0.5653684795608462
BM25_Best,1.5,1.5,1.0,0.5548648025162679
BM25_Best,1.5,1.5,1.5,0.5452772935685228
BM25_Best,1.5,1.5,2.0,0.537897999755502
BM25_Best,1.5,2.0,0.0,0.5715372134144007
BM25_Best,1.5,2.0,0.5,0.5688007867387789
BM25_Best,1.5,2.0,1.0,0.561043772884871
BM25_Best,1.5,2.0,1.5,0.5525359585207572
BM25_Best,1.5,2.0,2.0,0.5451568672287177
BM25_Best,1.5,3.0,0.0,0.5728085112572208
BM25_Best,1.5,3.0,0.5,0.5716443286024432
BM25_Best,1.5,3.0,1.0,0.5676026910251538
BM25_Best,1.5,3.0,1.5,0.5616961297872278
BM25_Best,1.5,3.0,2.0,0.555519018929452
BM25_Best,2.0,0.0,0.0,0.5147758111149406
BM25_Best,2.0,0.0,0.5,0.5160961006242064
BM25_Best,2.0,0.0,1.0,0.5127884174936886
BM25_Best,2.0,0.0,1.5,0.5105663756992497
BM25_Best,2.0,0.0,2.0,0.5090846953789867
BM25_Best,2.0,0.5,0.0,0.5551398075977034
BM25_Best,2.0,0.5,0.5,0.542542781636723
BM25_Best,2.0,0.5,1.0,0.5310095063348563
BM25_Best,2.0,0.5,1.5,0.5242993050216366
BM25_Best,2.0,0.5,2.0,0.5201523933561335
BM25_Best,2.0,1.0,0.0,0.5641979267006607
BM25_Best,2.0,1.0,0.5,0.556620825122028
