model,w1_doc,w2_query,w3_topic,AUC
BM25_Best,0.0,1.5,0.0,0.5750812640327067
BM25_Best,0.0,1.5,0.5,0.5728407018570655
BM25_Best,0.0,1.5,1.0,0.5641956936865333
BM25_Best,0.0,1.5,1.5,0.5536843922166195
BM25_Best,0.0,1.5,2.0,0.5448562144356988
BM25_Best,0.0,2.0,0.0,0.5750812640327067
BM25_Best,0.0,2.0,0.5,0.5739325773981899
BM25_Best,0.0,2.0,1.0,0.5692986713970863
BM25_Best,0.0,2.0,1.5,0.5614581973818341
BM25_Best,0.0,2.0,2.0,0.5536843922166195
BM25_Best,0.0,3.0,0.0,0.5750812640327067
BM25_Best,0.0,3.0,0.5,0.5746387512378545
BM25_Best,0.0,3.0,1.0,0.5728407018570655
BM25_Best,0.0,3.0,1.5,0.5692986713970863
BM25_Best,0.0,3.0,2.0,0.5641956936865333
BM25_Best,0.5,0.0,0.0,0.5420716154343032
BM25_Best,0.5,0.0,0.5,0.5284657794902936
BM25_Best,0.5,0.0,1.0,0.5170681489256648
BM25_Best,0.5,0.0,1.5,0.5121758773688556
BM25_Best,0.5,0.0,2.0,0.509487479752901
BM25_Best,0.5,0.5,0.0,0.576926130968471
BM25_Best,0.5,0.5,0.5,0.5636628045442574
BM25_Best,0.5,0.5,1.0,0.544198677626754
BM25_Best,0.5,0.5,1.5,0.5324372876950159
BM25_Best,0.5,0.5,2.0,0.5254235888892926
BM25_Best,0.5,1.0,0.0,0.5788253649257326
BM25_Best,0.5,1.0,0.5,0.573926385749388
BM25_Best,0.5,1.0,1.0,0.560632372644709
BM25_Best,0.5,1.0,1.5,0.5483423028056262
BM25_Best,0.5,1.0,2.0,0.5391944132644235
BM25_Best,0.5,1.5,0.0,0.5790528265501376
BM25_Best,0.5,1.5,0.5,0.5767789978403637
BM25_Best,0.5,1.5,1.0,0.568845187435059
BM25_Best,0.5,1.5,1.5,0.5589671449932617
BM25_Best,0.5,1.5,2.0,0.5501486348745054
BM25_Best,0.5,2.0,0.0,0.5789506915012614
BM25_Best,0.5,2.0,0.5,0.5776538941098791
BM25_Best,0.5,2.0,1.0,0.5728851296528543
BM25_Best,0.5,2.0,1.5,0.5655628531921507
BM25_Best,0.5,2.0,2.0,0.5579698007217833
BM25_Best,0.5,3.0,0.0,0.578361181360074
BM25_Best,0.5,3.0,0.5,0.5778069744795987
BM25_Best,0.5,3.0,1.0,0.5758014233948843
BM25_Best,0.5,3.0,1.5,0.5721130201847208
BM25_Best,0.5,3.0,2.0,0.5671445750538361
