Model,Outcome,Feature,Coefficient,Odds_Ratio,P_value,Lower_CI,Upper_CI,complexity
BM25_Best_Simple,1,7,-0.0069383837412827455,0.9930856312693023,0.8746799539949729,1.147420562307234,1.401210431251385,Simple
BM25_Best_Simple,1,8,0.2658122079220033,1.3044900627838867,3.99988747014818e-06,1.2049572033958382,1.467758951373758,Simple
BM25_Best_Simple,2,0,0.07675328742284375,1.0797756492953057,0.06070517262733367,0.11405932263882351,0.15737828497136017,Simple
BM25_Best_Simple,2,1,-0.09121034265817513,0.9128256845233714,0.1363115721999692,0.987742993379606,1.3522272290633628,Simple
BM25_Best_Simple,2,2,0.17340077918285113,1.189342673363091,0.0019029015667668186,0.7365761161998277,1.0337571380056898,Simple
BM25_Best_Simple,2,3,0.2315270136666398,1.2605233774760003,2.220644695749613e-06,0.6796260923681624,0.8050550727145412,Simple
BM25_Best_Simple,2,4,0.20772611627398518,1.2308760064723205,9.88029434095312e-08,0.911045502869441,1.0825135165338504,Simple
BM25_Best_Simple,2,5,0.28509038255302793,1.3298822208400756,1.4758698963658915e-08,0.8006104772153858,0.956070934729644,Simple
BM25_Best_Simple,2,6,-0.13627141379213878,0.8726057631061579,0.11502537310989537,0.255043562965087,0.32223376791352865,Simple
BM25_Best_Simple,2,7,-0.1336519574902386,0.8748945121016934,0.003154275911286775,1.1651325672020074,1.4605156286965875,Simple
BM25_Best_Simple,2,8,-0.014664380368893743,0.9854426179968069,0.8096453253432259,0.8746058131640533,1.1103255189343775,Simple
BIM_Medium,0,0,-0.02316182155400827,0.9771043544341916,0.6824344030319145,0.8744882708294957,1.091761835237249,Medium
BIM_Medium,0,1,-0.6359887863747121,0.5294117543004448,1.0821780103308923e-20,1.0169995901152373,1.270584393935418,Medium
BIM_Medium,0,2,-0.736733756672643,0.4786748334451706,9.988162441913055e-26,0.9529235307885019,1.1913295003354327,Medium
BIM_Medium,0,3,-0.5993978690624053,0.5491421920680326,4.193093466476551e-19,0.4631867390193436,0.6051054185723778,Medium
BIM_Medium,0,4,0.01408304221027062,1.0141826754126673,0.8022022562586193,1.0652670617281794,1.389090204820023,Medium
